run_name,params_json,win,drop,sf,dil,tf,lr,wd,val_subject,best_epoch,val_accuracy,val_balanced_accuracy,val_macro_f1
win1p0_drop0p25_sf32_dil1m2m4_tf16_lr0p001_wd0p001_val113922,"{""data.window_seconds"":1.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.tcn_dilations"":[1,2,4],""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",1.0,0.25,32,"[1, 2, 4]",16,0.001,0.001,113922,1,0.25,0.25,0.1
win1p0_drop0p25_sf32_dil1m2m4_tf16_lr0p001_wd0p001_val164636,"{""data.window_seconds"":1.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.tcn_dilations"":[1,2,4],""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",1.0,0.25,32,"[1, 2, 4]",16,0.001,0.001,164636,1,0.25,0.25,0.1
win1p0_drop0p25_sf32_dil1m2m4m8_tf16_lr0p001_wd0p001_val113922,"{""data.window_seconds"":1.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.tcn_dilations"":[1,2,4,8],""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",1.0,0.25,32,"[1, 2, 4, 8]",16,0.001,0.001,113922,1,0.25,0.25,0.1
win1p0_drop0p25_sf32_dil1m2m4m8_tf16_lr0p001_wd0p001_val164636,"{""data.window_seconds"":1.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.tcn_dilations"":[1,2,4,8],""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",1.0,0.25,32,"[1, 2, 4, 8]",16,0.001,0.001,164636,1,0.25,0.25,0.1
win1p0_drop0p25_sf64_dil1m2m4_tf16_lr0p001_wd0p001_val113922,"{""data.window_seconds"":1.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.tcn_dilations"":[1,2,4],""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",1.0,0.25,64,"[1, 2, 4]",16,0.001,0.001,113922,1,0.25,0.25,0.1
win1p0_drop0p25_sf64_dil1m2m4_tf16_lr0p001_wd0p001_val164636,"{""data.window_seconds"":1.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.tcn_dilations"":[1,2,4],""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",1.0,0.25,64,"[1, 2, 4]",16,0.001,0.001,164636,28,0.65625,0.65625,0.6111111111111112
win1p0_drop0p25_sf64_dil1m2m4m8_tf16_lr0p001_wd0p001_val113922,"{""data.window_seconds"":1.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.tcn_dilations"":[1,2,4,8],""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",1.0,0.25,64,"[1, 2, 4, 8]",16,0.001,0.001,113922,1,0.25,0.25,0.1
win1p0_drop0p25_sf64_dil1m2m4m8_tf16_lr0p001_wd0p001_val164636,"{""data.window_seconds"":1.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.tcn_dilations"":[1,2,4,8],""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",1.0,0.25,64,"[1, 2, 4, 8]",16,0.001,0.001,164636,1,0.25,0.25,0.1
win1p0_drop0p25_sf32_dil1m2m4_tf32_lr0p001_wd0p001_val113922,"{""data.window_seconds"":1.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.tcn_dilations"":[1,2,4],""model.params.temporal_filters"":32,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",1.0,0.25,32,"[1, 2, 4]",32,0.001,0.001,113922,37,0.75,0.75,0.7595238095238096
win1p0_drop0p25_sf32_dil1m2m4_tf32_lr0p001_wd0p001_val164636,"{""data.window_seconds"":1.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.tcn_dilations"":[1,2,4],""model.params.temporal_filters"":32,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",1.0,0.25,32,"[1, 2, 4]",32,0.001,0.001,164636,16,0.53125,0.53125,0.4404761904761905
win1p0_drop0p25_sf32_dil1m2m4m8_tf32_lr0p001_wd0p001_val113922,"{""data.window_seconds"":1.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.tcn_dilations"":[1,2,4,8],""model.params.temporal_filters"":32,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",1.0,0.25,32,"[1, 2, 4, 8]",32,0.001,0.001,113922,1,0.25,0.25,0.1
win1p0_drop0p25_sf32_dil1m2m4m8_tf32_lr0p001_wd0p001_val164636,"{""data.window_seconds"":1.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.tcn_dilations"":[1,2,4,8],""model.params.temporal_filters"":32,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",1.0,0.25,32,"[1, 2, 4, 8]",32,0.001,0.001,164636,1,0.25,0.25,0.1
win1p0_drop0p25_sf64_dil1m2m4_tf32_lr0p001_wd0p001_val113922,"{""data.window_seconds"":1.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.tcn_dilations"":[1,2,4],""model.params.temporal_filters"":32,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",1.0,0.25,64,"[1, 2, 4]",32,0.001,0.001,113922,1,0.25,0.25,0.1
win1p0_drop0p25_sf64_dil1m2m4_tf32_lr0p001_wd0p001_val164636,"{""data.window_seconds"":1.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.tcn_dilations"":[1,2,4],""model.params.temporal_filters"":32,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",1.0,0.25,64,"[1, 2, 4]",32,0.001,0.001,164636,1,0.25,0.25,0.1
win1p0_drop0p25_sf64_dil1m2m4m8_tf32_lr0p001_wd0p001_val113922,"{""data.window_seconds"":1.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.tcn_dilations"":[1,2,4,8],""model.params.temporal_filters"":32,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",1.0,0.25,64,"[1, 2, 4, 8]",32,0.001,0.001,113922,1,0.25,0.25,0.1
win1p0_drop0p25_sf64_dil1m2m4m8_tf32_lr0p001_wd0p001_val164636,"{""data.window_seconds"":1.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.tcn_dilations"":[1,2,4,8],""model.params.temporal_filters"":32,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",1.0,0.25,64,"[1, 2, 4, 8]",32,0.001,0.001,164636,1,0.25,0.25,0.1
win2p0_drop0p25_sf32_dil1m2m4_tf16_lr0p001_wd0p001_val113922,"{""data.window_seconds"":2.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.tcn_dilations"":[1,2,4],""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",2.0,0.25,32,"[1, 2, 4]",16,0.001,0.001,113922,1,0.25,0.25,0.1
win2p0_drop0p25_sf32_dil1m2m4_tf16_lr0p001_wd0p001_val164636,"{""data.window_seconds"":2.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.tcn_dilations"":[1,2,4],""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",2.0,0.25,32,"[1, 2, 4]",16,0.001,0.001,164636,1,0.25,0.25,0.1
win2p0_drop0p25_sf32_dil1m2m4m8_tf16_lr0p001_wd0p001_val113922,"{""data.window_seconds"":2.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.tcn_dilations"":[1,2,4,8],""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",2.0,0.25,32,"[1, 2, 4, 8]",16,0.001,0.001,113922,1,0.25,0.25,0.1
win2p0_drop0p25_sf32_dil1m2m4m8_tf16_lr0p001_wd0p001_val164636,"{""data.window_seconds"":2.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.tcn_dilations"":[1,2,4,8],""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",2.0,0.25,32,"[1, 2, 4, 8]",16,0.001,0.001,164636,1,0.25,0.25,0.1
win2p0_drop0p25_sf64_dil1m2m4_tf16_lr0p001_wd0p001_val113922,"{""data.window_seconds"":2.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.tcn_dilations"":[1,2,4],""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",2.0,0.25,64,"[1, 2, 4]",16,0.001,0.001,113922,1,0.25,0.25,0.1
win2p0_drop0p25_sf64_dil1m2m4_tf16_lr0p001_wd0p001_val164636,"{""data.window_seconds"":2.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.tcn_dilations"":[1,2,4],""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",2.0,0.25,64,"[1, 2, 4]",16,0.001,0.001,164636,1,0.25,0.25,0.1
win2p0_drop0p25_sf64_dil1m2m4m8_tf16_lr0p001_wd0p001_val113922,"{""data.window_seconds"":2.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.tcn_dilations"":[1,2,4,8],""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",2.0,0.25,64,"[1, 2, 4, 8]",16,0.001,0.001,113922,1,0.25,0.25,0.1
win2p0_drop0p25_sf64_dil1m2m4m8_tf16_lr0p001_wd0p001_val164636,"{""data.window_seconds"":2.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.tcn_dilations"":[1,2,4,8],""model.params.temporal_filters"":16,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",2.0,0.25,64,"[1, 2, 4, 8]",16,0.001,0.001,164636,1,0.25,0.25,0.1
win2p0_drop0p25_sf32_dil1m2m4_tf32_lr0p001_wd0p001_val113922,"{""data.window_seconds"":2.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.tcn_dilations"":[1,2,4],""model.params.temporal_filters"":32,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",2.0,0.25,32,"[1, 2, 4]",32,0.001,0.001,113922,1,0.25,0.25,0.1
win2p0_drop0p25_sf32_dil1m2m4_tf32_lr0p001_wd0p001_val164636,"{""data.window_seconds"":2.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.tcn_dilations"":[1,2,4],""model.params.temporal_filters"":32,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",2.0,0.25,32,"[1, 2, 4]",32,0.001,0.001,164636,3,0.28125,0.28125,0.15526315789473685
win2p0_drop0p25_sf32_dil1m2m4m8_tf32_lr0p001_wd0p001_val113922,"{""data.window_seconds"":2.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.tcn_dilations"":[1,2,4,8],""model.params.temporal_filters"":32,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",2.0,0.25,32,"[1, 2, 4, 8]",32,0.001,0.001,113922,7,0.34375,0.34375,0.21785714285714286
win2p0_drop0p25_sf32_dil1m2m4m8_tf32_lr0p001_wd0p001_val164636,"{""data.window_seconds"":2.0,""model.params.dropout"":0.25,""model.params.separable_filters"":32,""model.params.tcn_dilations"":[1,2,4,8],""model.params.temporal_filters"":32,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",2.0,0.25,32,"[1, 2, 4, 8]",32,0.001,0.001,164636,4,0.34375,0.34375,0.24447174447174447
win2p0_drop0p25_sf64_dil1m2m4_tf32_lr0p001_wd0p001_val113922,"{""data.window_seconds"":2.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.tcn_dilations"":[1,2,4],""model.params.temporal_filters"":32,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",2.0,0.25,64,"[1, 2, 4]",32,0.001,0.001,113922,1,0.25,0.25,0.1
win2p0_drop0p25_sf64_dil1m2m4_tf32_lr0p001_wd0p001_val164636,"{""data.window_seconds"":2.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.tcn_dilations"":[1,2,4],""model.params.temporal_filters"":32,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",2.0,0.25,64,"[1, 2, 4]",32,0.001,0.001,164636,1,0.25,0.25,0.1
win2p0_drop0p25_sf64_dil1m2m4m8_tf32_lr0p001_wd0p001_val113922,"{""data.window_seconds"":2.0,""model.params.dropout"":0.25,""model.params.separable_filters"":64,""model.params.tcn_dilations"":[1,2,4,8],""model.params.temporal_filters"":32,""training.learning_rate"":0.001,""training.weight_decay"":0.001}",2.0,0.25,64,"[1, 2, 4, 8]",32,0.001,0.001,113922,1,0.25,0.25,0.1
